track_id,name,artists,album,duration_ms,explicit,popularity,preview_url,in_playlist_ids
4hjRjhLvBIMUUhRjb7DACd,✻H+3+ЯД✻7luCJIo0T6...,vyrval,✻H+3+ЯД✻7luCJIo0T6...,190850,False,75,https://p.scdn.co/mp3-preview/a3704da01030219d9f4820b1dae1e4c7ed5d95af?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL;4b7qs25ukOmVJkiP7r1bO1
0ECiD94LsXnHbr5KJx33SE,"Afterimage (feat. Ian Kenny, Karnivool)",Northlane,Mirror's Edge,254173,False,50,https://p.scdn.co/mp3-preview/a1420208b381cc5419d52a83fff0c76e07d70c79?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
14vSJuXiBiwLsJoci3JZ5o,2600 Funkus,pH10,Quarks and Gluons,341373,False,0,https://p.scdn.co/mp3-preview/e6c543d569ec1a914357ea7a520478c04f359a1b?cid=2d41cd0ab78d4fc180a3b32d56acd648,7vXbIhjuR8Qva9jSEkqg9D
6Sh23gHFRLjcd8OJXgwd7z,Double Wide,pH10,Quarks and Gluons,374400,False,0,https://p.scdn.co/mp3-preview/f24180353e20c7ba8b070b60a6c6ae2624d84060?cid=2d41cd0ab78d4fc180a3b32d56acd648,7vXbIhjuR8Qva9jSEkqg9D
6QxCFUl7u9Vzk8ALN8m3bf,Not For Me,The Cost,Not For Me,243857,False,55,https://p.scdn.co/mp3-preview/d1b800d44bbd2e206a495d4a1bd35016ff895505?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
73Lomnc1LsYSkjRBuk0jQd,Let Me Disappear,Northlane,Mirror's Edge,220280,False,53,https://p.scdn.co/mp3-preview/4f69e9acea9369dfa938bfac32ea315671171ca1?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
0hCNHNnXTpUXsTpi7C8RsC,Nightmare (The Devil),Fame on Fire,Nightmare (The Devil),201110,False,56,https://p.scdn.co/mp3-preview/b7955f445e72f9ab9d0ce8e73acf82672b3e5dc5?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
0898GuGXsCf0oOrSzmIMsn,Blue Reverie,ERRA,CURE,301840,False,54,https://p.scdn.co/mp3-preview/f59f17cd85cb6282e9d3a33f7b97d5b82dda558a?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
29icHp3xGk5PGfzPSKsXrg,Lost in the Dark,Left to Suffer; Paleface Swiss,Lost in the Dark,198298,True,59,https://p.scdn.co/mp3-preview/d56aa4ab23146610a5eb582272f94e4ce19b056c?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
5wOzhwczgEanEl6DKB2hjy,stay,never easy,stay,146842,False,54,https://p.scdn.co/mp3-preview/4308905da783265bca0d7c5b1e65b760bbee65fe?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
4olevV9BVXIZpcI3g8E6kI,IF IT DOESN'T HURT,NOTHING MORE,IF IT DOESN'T HURT,179225,False,67,https://p.scdn.co/mp3-preview/8b2759eaa1d6ab93b81696e3954540ff8da204c4?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
1MHCrrThxRZaWLNDo7bEjC,"Afterimage (feat. Ian Kenny, Karnivool)",Northlane,"Afterimage (feat. Ian Kenny, Karnivool)",254173,False,53,https://p.scdn.co/mp3-preview/a1420208b381cc5419d52a83fff0c76e07d70c79?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
1j04ijjf5krI9LtRDQeCeQ,I WON'T BOW DOWN,P.O.D.,I WON'T BOW DOWN,160836,False,52,https://p.scdn.co/mp3-preview/a5d6ab648b8d15c8849dca1f6975ea41540a2fe6?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
4QDQiTaHBys1mJK5rE41di,Fallout,Sleep Theory,Fallout (Reimagined),197400,False,59,https://p.scdn.co/mp3-preview/cbb3d3c7973e9aea7b880d074e78f7d4e59e8187?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
2HcGm8GCzfYJGmCZuxweT2,smother,unpeople,smother,201265,False,31,https://p.scdn.co/mp3-preview/d5c510daf67bdb205972ee247b36abaf550881e2?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
5WQOAH4kOFb7wusGWiCLZG,No Place Like Home,FLAKE,No Place Like Home,143000,False,47,https://p.scdn.co/mp3-preview/b21bb7eb31dc9d22c80751a215ab0e15d6ecf583?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
1gSHOg9Mn7CFNLiBboSSEm,12800,Fight the Fight,12800,88000,False,37,https://p.scdn.co/mp3-preview/f5984bc93b1e6d4019b409b62d0eb99dbb1c03e7?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
6jjx1KvWK4OAzD0JimzHiY,Dante,Northlane,Dante,346294,False,50,https://p.scdn.co/mp3-preview/82e066b5e94a94ef33f36c8ba3411b938189ac61?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
7F7rT35UGVJrSOV9cak7b3,Glitching Prisms feat. Brandon Boyd,Night Verses; Brandon Boyd,Every Sound Has A Color In The Valley Of Night,210920,False,33,https://p.scdn.co/mp3-preview/49acc0ef0a66f394b36c6476ceb811e7edf27daf?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
2ahnJRQjXpdJvZ46x0KbIJ,Hollow Heart,Andromida,Hollow Heart,233590,True,38,https://p.scdn.co/mp3-preview/f91e6e8c717df7cd0f18c2604a805269ad8b7e3e?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
0AvzlxMd2IEXZEQXNBtQNm,Mourning The Dawn,NOVELISTS,Mourning The Dawn,301371,False,49,https://p.scdn.co/mp3-preview/219d1876a98dd986f8b033fd0fd5ec741671ba71?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
0LSgZIdGUQtaXxlFN9thhc,THE DRAIN,Bad Omens; HEALTH; SWARM,THE DRAIN,225701,False,65,https://p.scdn.co/mp3-preview/2864145215a8f12d7c504e6e8012a31a2fdb6480?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
5No4V8VieEx1QWFIouq9TG,Earn It,The Ghost Inside,Searching for Solace,186265,False,43,https://p.scdn.co/mp3-preview/7889ba723c79bef2a2cbb3db54b68a578f4995eb?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
0NdJTGSbBs1BQV9yFlU1Km,Plinth of Shame,Ions,Counterintuitive,122985,False,35,https://p.scdn.co/mp3-preview/bdf87275832d182d7cca2766109738695d854f2a?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
73ie5zwAUCRHnE3T2MNjim,Into The Drone,The Cost,Into The Drone,226615,False,52,https://p.scdn.co/mp3-preview/5afe99bffe64053786537cf5ab7ef04f2d827f5f?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
03jUMnAF30sYJ2EsPB2JtG,Miasma (feat. Winston McCall),Northlane,Miasma (feat. Winston McCall),258153,False,49,https://p.scdn.co/mp3-preview/c10e98f3f06cc0cca14d641d2f1f599144a355db?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
1h29QJe8e4TzlhdpXIue4U,Losing My Grip,Enter Shikari; Jason Aalon Butler; FEVER 333,Losing My Grip,167861,True,40,https://p.scdn.co/mp3-preview/d78247636643abb95c5bcd96783e3dcceafcc4b1?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
4OCcKzbevqDQlNdOmXSjAK,Obsession,Thornhill,Obsession,197674,False,57,https://p.scdn.co/mp3-preview/c5b8e557aaa5bf0e07ce39097e05d5f84b54e142?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
05vBYzt1T8S8wVVDNPWIqO,Split,The Ghost Inside,Searching for Solace,191075,True,45,https://p.scdn.co/mp3-preview/4b7b0a07ea6403a9fff7b1939fe0a1dd46014dc0?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
2RkAej0kdamkbC1Oq5gwdh,Delay,Profiler,A Digital Nowhere,231053,False,23,https://p.scdn.co/mp3-preview/bb5555e3bf3eb7bc872df7c0a8fcb547048d75cf?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
1WawIFyXJhxthsfFujjYez,The Wall,Windwaker,Enter The Wall,143946,True,47,https://p.scdn.co/mp3-preview/ef4d26f6168091651055ecc5b2806a62a5f3086b?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
6ykA2AhyjoTLOr3NGPrx1J,We Are Shadows,Kittie,We Are Shadows,215823,False,50,https://p.scdn.co/mp3-preview/85dc770ca1240c15d34b33f8530519264f02853d?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
2gxp0oWyEpcrJu1f3GrJiE,97,Blue Eyed Giants,97,216115,False,22,https://p.scdn.co/mp3-preview/3f2e207edfb63f91d06d8ec1d5994199a252bafb?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
65VHUZPZKgaG4SJVRkBPzn,Curse,Architects,Curse,180134,False,69,https://p.scdn.co/mp3-preview/0ffc546fcf39a9bf565fc190328a41ddca7f23db?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
2e31Q32Epa3YbGIFmhX2r6,Death Grip,The Ghost Inside,Searching for Solace,178799,False,46,https://p.scdn.co/mp3-preview/0195eec2d5a607406cdf1b162f29027ba586f997?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
7jh4Eq5n9G8x4zfI70FKbN,Artifice,Profiler,A Digital Nowhere,203506,False,24,https://p.scdn.co/mp3-preview/d39689b9d0e4838b0be6fd50c21d546b675aaa92?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
1G9givRPDFvYoKaMw2OqjK,Low Tech,Kublai Khan TX,Low Tech,140203,True,59,https://p.scdn.co/mp3-preview/4bcf6387e87ec7448daf41ac23fc39c35b9488d9?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
0vO5eTL64VONPlOzTMKyiA,Blinded,Cevret; Andy Cizek,Blinded,275069,False,31,https://p.scdn.co/mp3-preview/f7d10c7d91bc4104fce55738720213da1aa73194?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
6sSxQwz5SBYSLfiyRKWSkC,Creature,LANDMVRKS,Creature,225278,False,57,https://p.scdn.co/mp3-preview/4e965bb3355e49fe57bf1810c2e5a970cfc78a37?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
0gHwara1OZ6LuMqRQfVS2L,"Sugar on the Blade, Sugar on the Needle",Lee McKinney,"Sugar on the Blade, Sugar on the Needle",198093,False,27,https://p.scdn.co/mp3-preview/1416eeb506acb04a6715e2d05b1b1da9b771d705?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
128doIcxuGGus2SEnlIVCi,The Witch,Four Stroke Baron,The Witch,193104,False,29,https://p.scdn.co/mp3-preview/a551d0b2d8ae0d958624450f5bcf3364221827da?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
6fynRUeVDiA4w1QW9A8esu,The Will To Resist,Bleed From Within,Shrine (Deluxe Version),215000,True,43,https://p.scdn.co/mp3-preview/1eccf2b685d081450f5bf25ce4db0cda25f71ac3?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
66z7e90e688uJYZnoo0X52,Submerged In Pain,Heists,Submerged In Pain,242143,True,43,https://p.scdn.co/mp3-preview/057af30b19b1f3a48172ea445b316b0c787dc308?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
36v8ryCBZ2Q2YiYDc1rxuS,Nothing Left,Asking Alexandria,Where Do We Go From Here?,267554,False,44,https://p.scdn.co/mp3-preview/b2d588d737f98a497e61be7e5cc51085a2fb4274?cid=2d41cd0ab78d4fc180a3b32d56acd648,37i9dQZF1E8PSs2L2KBObU
